sale_id,date,store_id,product_id,quantity_sold,unit_price,total_revenue
1,2025-01-01,1,1627,15,409.91,6148.65
2,2025-01-01,1,1028,1,362.37,362.37
3,2025-01-01,1,1001,14,454.54,6363.56
4,2025-01-01,1,1067,7,409.98,2869.86
5,2025-01-01,1,1533,8,576.82,4614.56
6,2025-01-01,1,1134,12,179.23,2150.76
7,2025-01-01,1,1044,2,307.96,615.92
8,2025-01-01,1,1666,2,233.14,466.28
9,2025-01-01,1,1636,2,614.01,1228.02
10,2025-01-01,1,1760,3,325.41,976.23
11,2025-01-01,1,1008,11,480.48,5285.28
12,2025-01-01,1,1296,2,201.83,403.66
13,2025-01-01,1,1355,5,120.11,600.55
14,2025-01-01,1,1015,14,375.65,5259.1
15,2025-01-01,1,1191,14,124.13,1737.82
16,2025-01-01,1,1023,4,293.57,1174.28
17,2025-01-01,1,1118,8,395.61,3164.88
18,2025-01-01,1,1038,13,302.52,3932.76
19,2025-01-01,1,1471,12,85.29,1023.48
20,2025-01-01,1,1402,9,57.44,516.96
21,2025-01-01,1,1351,14,343.67,4811.38
22,2025-01-01,1,1679,10,206.62,2066.2
23,2025-01-01,1,1323,4,481.19,1924.76
24,2025-01-01,1,1264,3,104.69,314.07
25,2025-01-01,1,1083,10,513.94,5139.4
26,2025-01-01,1,1566,7,32.29,226.03
27,2025-01-01,1,1430,11,344.31,3787.41
28,2025-01-01,1,1107,7,475.11,3325.77
29,2025-01-01,1,1060,9,384.92,3464.28
30,2025-01-01,1,1339,1,354.08,354.08
31,2025-01-01,1,1620,6,416.92,2501.52
32,2025-01-01,1,1024,1,69.7,69.7
33,2025-01-01,1,1563,15,346.09,5191.35
34,2025-01-01,1,1768,9,228.49,2056.41
35,2025-01-01,1,1280,2,210.89,421.78
36,2025-01-01,1,1778,12,272.9,3274.8
37,2025-01-01,1,1277,7,164.93,1154.51
38,2025-01-01,1,1163,3,332.24,996.72
39,2025-01-01,1,1721,11,352.93,3882.23
40,2025-01-01,1,1401,11,87.54,962.94
41,2025-01-01,1,1574,1,415.96,415.96
42,2025-01-01,1,1484,11,305.56,3361.16
43,2025-01-01,1,1600,13,580.41,7545.33
44,2025-01-01,1,1145,7,38.3,268.1
45,2025-01-01,1,1473,11,463.7,5100.7
46,2025-01-01,1,1136,9,29.48,265.32
47,2025-01-01,1,1278,15,399.58,5993.7
48,2025-01-01,1,1672,8,92.26,738.08
49,2025-01-01,1,1665,14,504.97,7069.58
50,2025-01-01,1,1737,5,186.66,933.3
51,2025-01-01,1,1216,1,262.84,262.84
52,2025-01-01,1,1539,5,370.8,1854.0
53,2025-01-01,1,1240,12,295.83,3549.96
54,2025-01-01,1,1437,10,595.49,5954.9
55,2025-01-01,2,1171,13,32.92,427.96
56,2025-01-01,2,1308,2,279.16,558.32
57,2025-01-01,2,1175,13,460.53,5986.89
58,2025-01-01,2,1709,9,291.92,2627.28
59,2025-01-01,2,1246,10,203.73,2037.3
60,2025-01-01,2,1439,7,623.92,4367.44
61,2025-01-01,2,1270,11,445.52,4900.72
62,2025-01-01,2,1350,9,549.17,4942.53
63,2025-01-01,2,1316,6,144.55,867.3
64,2025-01-01,2,1044,1,307.96,307.96
65,2025-01-01,2,1642,1,419.61,419.61
66,2025-01-01,2,1663,13,353.59,4596.67
67,2025-01-01,2,1313,14,278.45,3898.3
68,2025-01-01,2,1351,9,343.67,3093.03
69,2025-01-01,2,1616,13,329.32,4281.16
70,2025-01-01,2,1355,13,120.11,1561.43
71,2025-01-01,2,1254,13,222.41,2891.33
72,2025-01-01,2,1157,8,209.38,1675.04
73,2025-01-01,2,1356,15,286.33,4294.95
74,2025-01-01,2,1605,12,392.08,4704.96
75,2025-01-01,2,1437,14,595.49,8336.86
76,2025-01-01,2,1200,10,142.66,1426.6
77,2025-01-01,2,1446,11,488.41,5372.51
78,2025-01-01,2,1065,10,75.22,752.2
79,2025-01-01,2,1570,6,65.11,390.66
80,2025-01-01,2,1016,3,391.28,1173.84
81,2025-01-01,2,1771,10,411.2,4112.0
82,2025-01-01,2,1683,14,307.59,4306.26
83,2025-01-01,2,1120,3,529.23,1587.69
84,2025-01-01,2,1098,11,427.67,4704.37
85,2025-01-01,2,1415,8,144.69,1157.52
86,2025-01-01,2,1451,13,378.4,4919.2
87,2025-01-01,2,1471,11,85.29,938.19
88,2025-01-01,2,1020,11,239.5,2634.5
89,2025-01-01,2,1288,15,366.15,5492.25
90,2025-01-01,2,1101,10,336.59,3365.9
91,2025-01-01,2,1127,4,138.41,553.64
92,2025-01-01,2,1416,14,131.99,1847.86
93,2025-01-01,2,1228,10,355.7,3557.0
94,2025-01-01,2,1398,7,235.2,1646.4
95,2025-01-01,2,1317,5,305.91,1529.55
96,2025-01-01,2,1133,14,122.69,1717.66
97,2025-01-01,2,1274,10,147.52,1475.2
98,2025-01-01,2,1260,10,502.96,5029.6
99,2025-01-01,2,1362,5,466.63,2333.15
100,2025-01-01,2,1674,9,405.5,3649.5
101,2025-01-01,2,1526,10,153.04,1530.4
102,2025-01-01,2,1654,12,343.23,4118.76
103,2025-01-01,2,1167,8,215.63,1725.04
